Ticker,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M
LSIP,UPTREND,ABOVE MA200,TERKONFIRMASI,55.13,65.73,70.9,-1.16 B,-2.62 B,-2.40 B,-2.02 B,-2.15 B,+5.75 B,+7.90 B,+9.18 B
MIDI,DOWNTREND,BELOW MA200,TERKONFIRMASI,39.65,-3.16,-2.67,-5.55 M,-5.55 M,-5.55 M,-26.78 M,+110.97 M,-200.13 M,-33.94 M,-883.22 M
MLBI,UPTREND,ABOVE MA200,TERKONFIRMASI,49.81,19.58,33.33,-3.73 M,-3.34 M,-3.60 M,+6.59 M,+5.83 M,+25.75 M,+402.42 M,+799.26 M
MYOR,DOWNTREND,BELOW MA200,TERKONFIRMASI,35.51,-41.63,-43.63,+39.84 M,-361.92 M,-131.50 M,-182.62 M,-239.28 M,-3.08 B,-6.43 B,-31.79 M
NSSS,UPTREND,BELOW MA200,TERKONFIRMASI,38.36,-23.81,-14.69,-83.74 M,-125.48 M,-112.69 M,+178.84 M,+130.76 M,+750.08 M,+6.90 B,+8.27 B
PNGO,UPTREND,ABOVE MA200,TERKONFIRMASI,49.29,10.53,6.18,-256000,-244000,-244000,+556000,-564000,-58000,+2.42 M,+71.48 M
ROTI,DOWNTREND,BELOW MA200,TERKONFIRMASI,48.1,-1.27,-1.52,+1.21 M,-2.72 M,-4.32 M,-1.66 M,-1.66 M,-6.15 M,-95.19 M,-1.11 B
TAPG,UPTREND,ABOVE MA200,TERKONFIRMASI,53.36,87.41,115.73,-630.73 M,-1.02 B,-362.12 M,-582.86 M,-829.06 M,+21.32 B,+30.88 B,+5.17 B
TBLA,DOWNTREND,BELOW MA200,TERKONFIRMASI,47.47,-0.72,-0.55,-5.61 M,-5.61 M,+809500,+11.10 M,+11.10 M,+22.34 M,-323.89 M,-228.78 M
TLDN,UPTREND,BELOW MA200,TERKONFIRMASI,53.07,15.45,18.81,-7.42 M,-25.33 M,-6.33 M,-10.04 M,-10.04 M,+380.50 M,+624.93 M,+535.88 M
WIIM,DOWNTREND,BELOW MA200,TERKONFIRMASI,36.61,-63.48,-41.45,+363.56 M,+176.51 M,-525.73 M,-776.10 M,-981.86 M,-1.71 B,-1.56 B,-1.38 B
YUPI,UPTREND,BELOW MA200,TERKONFIRMASI,41.25,-12.15,-5.22,-403000,-590000,-517000,-865000,-287500,+75.66 M,-738.61 M,-594.99 M
BWPT,UPTREND,ABOVE MA200,TERKONFIRMASI,56.71,6.84,8.59,+226.26 M,-599.28 M,+72.72 M,-248.18 M,-693.03 M,+80.31 B,+133.32 B,+134.98 B
GZCO,UPTREND,BELOW MA200,TERKONFIRMASI,53.16,4.31,6.25,+6.57 M,-63.66 M,+87.33 M,+42.80 M,+18.00 M,+7.59 B,+15.82 B,+21.56 B
SIMP,UPTREND,ABOVE MA200,TERKONFIRMASI,49.82,5.68,8.59,-84.50 M,-165.70 M,+188.74 M,+188.74 M,+120.53 M,+888.05 M,+2.64 B,+35.35 B
STAA,UPTREND,ABOVE MA200,TERKONFIRMASI,52.1,18.45,31.07,-17.18 M,+110.98 M,+135.34 M,+50.60 M,+27.40 M,+660.75 M,+1.89 B,+1.16 B
ACES,UPTREND,BELOW MA200,TERKONFIRMASI,39.7,-1.48,-0.48,-50.84 M,-79.43 M,-64.31 M,-270.19 M,-270.19 M,-497.40 M,-44.51 M,-1.03 B
AUTO,UPTREND,ABOVE MA200,TERKONFIRMASI,70.65,104.93,126.67,+21.24 M,+166.78 M,+142.75 M,+49.95 M,+163.95 M,+3.70 B,+6.27 B,+5.56 B
EAST,DOWNTREND,BELOW MA200,DEATH CROSS 🩸,41.93,-0.29,-0.22,0,-1.68 M,-1.68 M,-1.68 M,-1.68 M,+2.04 M,+1.29 M,-6.74 M
ERAA,UPTREND,ABOVE MA200,TERKONFIRMASI,72.96,43.14,41.84,0,+615.21 M,+7.19 B,+6.57 B,+10.72 B,+66.45 B,+85.59 B,+84.34 B
KDSI,UPTREND,ABOVE MA200,TERKONFIRMASI,47.31,0.12,2.25,+148800,+118000,-870200,-870200,-870200,-701600,-1.07 M,-1.03 M
LPIN,UPTREND,BELOW MA200,TERKONFIRMASI,59.41,3.15,3.3,-407800,-407800,-304800,-304800,-121000,+1.15 M,+1.58 M,-94.43 M
